millis,altp,ax,ay,az
32.600000,1297.267095,-0.000003,0.000024,0.002452
32.700000,1296.560449,-0.000002,0.000021,0.002452
32.800000,1295.853827,-0.000002,0.000017,0.002452
32.900000,1295.147230,-0.000002,0.000013,0.002452
33.000000,1294.440657,-0.000001,0.000010,0.002452
33.100000,1293.734109,-0.000001,0.000006,0.002452
33.200000,1293.027585,-0.000001,0.000003,0.002452
33.300000,1292.321086,-0.000000,-0.000000,0.002451
33.400000,1291.614612,-0.000000,-0.000003,0.002451
33.500000,1290.908162,0.000000,-0.000006,0.002451
33.600000,1290.201736,0.000000,-0.000008,0.002451
33.700000,1289.495335,0.000000,-0.000010,0.002451
33.800000,1288.788959,0.000001,-0.000011,0.002451
33.900000,1288.082607,0.000001,-0.000013,0.002451
34.000000,1287.376280,0.000001,-0.000014,0.002451
34.100000,1286.669978,0.000001,-0.000014,0.002450
34.200000,1285.963699,0.000001,-0.000015,0.002450
34.300000,1285.257446,0.000001,-0.000015,0.002450
34.400000,1284.551217,0.000001,-0.000015,0.002450
34.500000,1283.845012,0.000001,-0.000014,0.002450
34.600000,1283.138832,0.000001,-0.000014,0.002450
34.700000,1282.432677,0.000001,-0.000013,0.002450
34.800000,1281.726546,0.000001,-0.000012,0.002450
34.900000,1281.020439,0.000000,-0.000011,0.002450
35.000000,1280.314357,0.000000,-0.000009,0.002449
35.100000,1279.608300,0.000000,-0.000008,0.002449
35.200000,1278.902267,0.000000,-0.000007,0.002449
35.300000,1278.196258,-0.000000,-0.000005,0.002449
35.400000,1277.490274,-0.000000,-0.000003,0.002449
35.500000,1276.784315,-0.000000,-0.000002,0.002449
35.600000,1276.078379,-0.000000,0.000000,0.002449
35.700000,1275.372469,-0.000001,0.000002,0.002448
35.800000,1274.666583,-0.000001,0.000004,0.002448
35.900000,1273.960721,-0.000001,0.000005,0.002448
36.000000,1273.254884,-0.000001,0.000007,0.002448
36.100000,1272.549071,-0.000001,0.000008,0.002448
36.200000,1271.843283,-0.000001,0.000010,0.002448
36.300000,1271.137519,-0.000002,0.000011,0.002448
36.400000,1270.431779,-0.000002,0.000012,0.002447
36.500000,1269.726064,-0.000002,0.000014,0.002447
36.600000,1269.020374,-0.000002,0.000015,0.002447
36.700000,1268.314708,-0.000002,0.000016,0.002447
36.800000,1267.609066,-0.000002,0.000017,0.002447
36.900000,1266.903449,-0.000002,0.000017,0.002447
37.000000,1266.197856,-0.000002,0.000018,0.002447
37.100000,1265.492288,-0.000002,0.000019,0.002446
37.200000,1264.786744,-0.000002,0.000019,0.002446
37.300000,1264.081225,-0.000002,0.000020,0.002446
37.400000,1263.375730,-0.000002,0.000020,0.002446
37.500000,1262.670259,-0.000002,0.000020,0.002446
37.600000,1261.964813,-0.000002,0.000021,0.002446
37.700000,1261.259391,-0.000002,0.000021,0.002445
37.800000,1260.553994,-0.000002,0.000021,0.002445
37.900000,1259.848621,-0.000002,0.000021,0.002445
38.000000,1259.143272,-0.000002,0.000021,0.002445
38.100000,1258.437948,-0.000002,0.000021,0.002445
38.200000,1257.732649,-0.000002,0.000021,0.002445
38.300000,1257.027374,-0.000002,0.000021,0.002445
38.400000,1256.322123,-0.000002,0.000020,0.002444
38.500000,1255.616897,-0.000002,0.000020,0.002444
38.600000,1254.911695,-0.000002,0.000020,0.002444
38.700000,1254.206517,-0.000002,0.000019,0.002444
38.800000,1253.501364,-0.000002,0.000019,0.002444
38.900000,1252.796235,-0.000002,0.000019,0.002444
39.000000,1252.091131,-0.000002,0.000018,0.002443
39.100000,1251.386051,-0.000002,0.000017,0.002443
39.200000,1250.680996,-0.000002,0.000017,0.002443
39.300000,1249.975965,-0.000002,0.000016,0.002443
